,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
20-04-2022,DEEPAKNTR,EQ,2211.4,2225.1,2251.5,2187.35,2222,2219.75,2224.8,433208,9.63799E+13,25791,136953,0.3161,20-04-2022,24.81783641,37.08378063,8.35,0,49.89824472,2262.338136,2247.643953,2228.288748,2150.235283,2079.925389,2008.646139,0,0,23.82135348
21-04-2022,DEEPAKNTR,EQ,2219.75,2232.55,2302.25,2225.7,2292,2290.85,2279.66,559920,1.27643E+14,31379,214985,0.384,21-04-2022,25.29510128,34.72604476,71.1,0,58.07888732,2267.522112,2251.758815,2230.74213,2151.634434,2081.606064,2010.521248,0,50.75,20.21535393
22-04-2022,DEEPAKNTR,EQ,2290.85,2269,2289,2245.05,2276,2278.35,2270.34,401951,9.12564E+13,20024,144486,0.3595,22-04-2022,24.3836125,32.65755831,0,-12.5,53.88414908,2269.490819,2254.291309,2232.609105,2152.895285,2083.173744,2012.300841,0,0,17.14470372
25-04-2022,DEEPAKNTR,EQ,2278.35,2240,2264.75,2220.7,2257,2256.6,2246.36,381293,8.56522E+13,24059,139736,0.3665,25-04-2022,21.65656444,30.45735953,0,-21.75,44.66504263,2267.147033,2254.511184,2233.549925,2153.927173,2084.555627,2013.924091,24.35,0,14.59429313
26-04-2022,DEEPAKNTR,EQ,2256.6,2273.7,2319.55,2273.65,2280,2283.9,2292.61,648026,1.48567E+14,30680,314999,0.4861,26-04-2022,21.45096765,28.65608116,27.3,0,46.48998822,2270.193027,2257.310119,2235.524437,2155.220435,2086.144028,2015.717951,0,54.8,13.01617498
27-04-2022,DEEPAKNTR,EQ,2283.9,2260,2277.25,2212.55,2256.8,2256.2,2240.57,535705,1.20029E+14,29108,248364,0.4636,27-04-2022,18.83574547,26.69201402,0,-27.7,42.00045517,2267.648841,2257.204393,2236.335244,2156.225207,2087.499056,2017.315839,61.1,0,12.80910864
28-04-2022,DEEPAKNTR,EQ,2256.2,2262,2332.8,2262,2290,2282.4,2300.98,925676,2.12996E+14,51196,279762,0.3022,28-04-2022,18.66215834,25.08604288,26.2,0,44.92706645,2270.33087,2259.603975,2238.141705,2157.480677,2089.052051,2019.077195,0,55.55,11.78114728
29-04-2022,DEEPAKNTR,EQ,2282.4,2305.2,2359.7,2287.65,2326.1,2326.6,2331.37,1024245,2.3879E+14,61237,336453,0.3285,29-04-2022,21.83940878,24.43671606,44.2,0,50.05460141,2280.561621,2265.984549,2241.610658,2159.163457,2090.944864,2021.120536,0,26.9,10.39356174
02-05-2022,DEEPAKNTR,EQ,2326.6,2295,2337.85,2269.45,2298,2298.3,2295.9,623462,1.43141E+14,40297,212787,0.3413,02-05-2022,21.82227555,23.91382796,0,-28.3,43.60137042,2283.78678,2269.062211,2243.833769,2160.5479,2092.597096,2022.96226,18.2,0,9.866060028
04-05-2022,DEEPAKNTR,EQ,2298.3,2298.3,2369,2266,2298.4,2288.05,2328.12,1056720,2.46017E+14,66305,296773,0.2808,04-05-2022,20.74250137,23.27956264,0,-10.25,50.05205321,2284.561911,2270.870572,2245.567739,2161.816578,2094.15449,2024.72364,0,31.15,9.023771953
