,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
09-08-2021,BAJFINANCE,EQ,6224.3,6225,6269.95,6136.05,6189.95,6193.15,6209.18,881179,5.4714E+14,67025,306591,0.3479,09-08-2021,60.47235413,69.86011175,0,-31.15,57.91935843,6237.863246,6199.721252,6037.551205,5584.033251,5523.196079,5478.963349,74.95,0,18.96821219
10-08-2021,BAJFINANCE,EQ,6193.15,6225,6248.45,6142.05,6167,6170.1,6192.01,731009,4.52642E+14,58374,204049,0.2791,10-08-2021,51.08301267,66.10469193,0,-23.05,60.64847213,6225.542656,6196.90018,6042.749197,5589.864761,5528.350692,5483.555619,0,0,21.33069637
11-08-2021,BAJFINANCE,EQ,6170.1,6176.1,6199.95,6057,6161,6167.8,6130.51,791929,4.85493E+14,70341,157143,0.1984,11-08-2021,42.96107264,61.47596807,0,-2.3,48.30864875,6215.043991,6194.128734,6047.65315,5595.61536,5533.445906,5488.102093,85.05,0,20.31688237
12-08-2021,BAJFINANCE,EQ,6167.8,6181,6254.9,6151.25,6193,6199.5,6212.18,794602,4.93621E+14,62309,272040,0.3424,12-08-2021,38.63691936,56.90815833,31.7,0,51.11058037,6212.217811,6194.640284,6053.607928,5601.624162,5538.75311,5492.828989,0,54.95,19.69325179
13-08-2021,BAJFINANCE,EQ,6199.5,6210,6228.85,6131,6149,6156.55,6166.45,667932,4.11877E+14,61446,223599,0.3348,13-08-2021,31.38253238,51.80303314,0,-42.95,49.65773292,6202.096391,6191.012637,6057.644872,5607.145813,5543.675794,5497.239096,20.25,0,19.47160757
16-08-2021,BAJFINANCE,EQ,6156.55,6149,6395,6103.85,6363.05,6377.15,6281.61,1423335,8.94084E+14,106190,365632,0.2569,16-08-2021,42.93898097,50.03022271,220.6,0,57.18796251,6233.92432,6208.740005,6070.174485,5614.807546,5550.317023,5503.08568,0,166.15,20.38081953
17-08-2021,BAJFINANCE,EQ,6377.15,6409.95,6436.85,6305,6407,6410.1,6379.06,1602776,1.02242E+15,121823,515148,0.3214,17-08-2021,54.13233548,50.85064526,32.95,0,57.28910326,6265.956262,6227.917148,6083.504897,5622.720904,5557.167883,5509.112353,0,41.85,21.86267942
18-08-2021,BAJFINANCE,EQ,6410.1,6434,6640,6406.05,6544,6544.1,6548.73,2153730,1.41042E+15,148858,594582,0.2761,18-08-2021,72.97462366,55.27544094,134,0,57.11603084,6316.52785,6258.0298,6101.56745,5631.888855,5565.031884,5515.989347,0,203.15,21.80832418
20-08-2021,BAJFINANCE,EQ,6544.1,6471.95,6732.7,6455.65,6637,6661.1,6631.33,2164732,1.4355E+15,168099,655989,0.303,20-08-2021,96.23881385,63.46811552,117,0,72.62750836,6379.177332,6296.417438,6123.509903,5642.129762,5573.765495,5523.598056,0,92.7,22.96591647
23-08-2021,BAJFINANCE,EQ,6661.1,6740,6819.5,6697,6735.6,6752.2,6764.26,1738340,1.17586E+15,135406,444543,0.2557,23-08-2021,120.6362413,74.90174068,91.1,0,77.03616583,6446.999635,6339.825301,6148.164417,5653.175237,5583.155411,5531.761524,0,86.8,25.40258105
24-08-2021,BAJFINANCE,EQ,6752.2,6775,7049,6727.95,6980,6980.1,6924.63,2622990,1.81632E+15,205179,487752,0.186,24-08-2021,156.5563199,91.23265653,227.9,0,79.02041547,6543.926974,6400.803844,6180.789342,5666.378468,5594.286444,5541.385036,0,229.5,28.1145609
25-08-2021,BAJFINANCE,EQ,6980.1,7005,7054,6921,6925,6944.95,6979.51,1509667,1.05367E+15,111509,406934,0.2696,25-08-2021,180.1107255,109.0082703,0,-35.15,76.04250022,6616.840252,6452.627288,6210.756426,5679.100573,5605.048703,5550.711049,0,5,29.57403643
26-08-2021,BAJFINANCE,EQ,6944.95,6900,6993.25,6855,6960.4,6931.95,6915.21,1234588,8.53743E+14,109191,358648,0.2905,26-08-2021,195.4754509,126.3017064,0,-13,83.29275419,6674.132933,6498.27707,6239.038527,5691.566736,5615.621622,5559.888716,66,0,31.73007052
27-08-2021,BAJFINANCE,EQ,6931.95,6950,7024.35,6872,6949.05,6966.6,6945.05,935906,6.49992E+14,75108,178000,0.1902,27-08-2021,208.0498032,142.6513258,34.65,0,85.77349398,6727.308764,6542.879253,6267.57035,5704.253635,5626.38639,5569.235635,0,31.1,34.39814425
30-08-2021,BAJFINANCE,EQ,6966.6,6995.95,7197,6980,7151.05,7165.5,7130.56,1504382,1.07271E+15,103690,369389,0.2455,30-08-2021,231.3972325,160.4005071,198.9,0,90.33810413,6806.979897,6602.176467,6302.783277,5718.793399,5638.650243,5579.842043,0,172.65,37.44455946
31-08-2021,BAJFINANCE,EQ,7165.5,7160,7598.8,7130,7529,7524.5,7369.07,2946438,2.17125E+15,167138,991013,0.3363,31-08-2021,275.6905492,183.4585155,359,0,93.93978718,6937.438098,6690.016804,6350.693737,5736.760629,5653.676935,5592.763358,0,401.8,40.33203796
01-09-2021,BAJFINANCE,EQ,7524.5,7525,7674.5,7483.35,7497,7519.6,7550.97,2227789,1.6822E+15,176999,743558,0.3338,01-09-2021,306.8606343,208.1389393,0,-4.9,93.78157792,7043.285716,6769.024727,6396.533198,5754.500324,5668.544847,5605.566259,0,75.7,46.04015246
02-09-2021,BAJFINANCE,EQ,7519.6,7500,7586.4,7445.05,7502,7498.45,7508.11,1183378,8.88493E+14,106799,434898,0.3675,02-09-2021,326.0974743,231.7306463,0,-21.15,92.35936736,7126.042859,6838.493801,6439.745622,5771.853058,5683.125765,5618.14356,38.3,0,51.01497407
03-09-2021,BAJFINANCE,EQ,7498.45,7500,7555,7461.75,7520.55,7523.4,7507.82,880247,6.60873E+14,90356,271539,0.3085,03-09-2021,339.4431755,253.2731521,24.95,0,95.1031183,7198.289612,6903.722963,6482.241872,5789.281385,5697.789305,5630.803071,0,0,56.2473182
